district	street	housenumber	totalscore	all_infra	kindergarten	school	college	university	language_school	music_school	training	sports_centre	community_centre	playground	clinic
Красносельский район	Сретенский бульвар	3/4 с2	190.16	t	27	31	6	30	14	7	28	26	18	193	123
Мещанский район	Рождественский бульвар	11	183.83	t	23	29	7	28	15	8	26	31	14	180	103
Басманный район	Мясницкая улица	30/2 с3	181.1	t	24	28	6	26	16	8	28	26	16	189	121
Тверской район	Петровский бульвар	23	178.83	t	27	25	5	28	15	7	24	31	14	169	114
Гагаринский район	Ленинский проспект	79	166.48	t	73	60	5	7	5	3	2	6	3	225	23
Таганский район	Яузский бульвар	14/8	164.79	t	19	29	8	17	14	11	27	20	17	172	107
Пресненский район	Садовая-Кудринская улица	6 с1	163.87	t	42	35	4	14	6	6	20	21	13	186	101
Ломоносовский район	Ленинский проспект	81/2	163.42	t	71	61	4	6	5	3	2	6	3	222	20
район Арбат	Большой Девятинский переулок	1/17	156.64	t	41	32	7	10	5	7	20	19	13	172	92
Обручевский район	Ленинский проспект	95Б	143.14	t	62	55	2	3	3	2	1	10	3	193	21
район Измайлово	Сиреневый бульвар	32	142.79	t	59	54	7	4	4	2	4	6	1	160	19
район Северное Измайлово	Сиреневый бульвар	37/40	138.86	t	58	54	7	2	4	1	4	6	1	167	19
Академический район	Нахимовский проспект	56	137.37	t	65	40	4	6	6	2	1	9	2	220	17
район Черёмушки	улица Архитектора Власова	27	135.24	t	57	53	1	4	7	1	2	6	2	205	19
район Марьина Роща	Октябрьская улица	2	133.77	t	34	24	6	13	4	3	13	19	15	202	75
район Проспект Вернадского	улица Удальцова	1 к1	131.96	t	59	49	2	1	2	2	1	9	5	176	20
район Хамовники	Смоленская улица	3	130.26	t	26	30	8	17	4	6	12	11	14	150	76
район Беговой	Бумажный проезд	2/2	128.49	t	27	24	4	10	5	3	19	22	12	190	59
Хорошёвский район	Ленинградский проспект	59	127.45	t	53	29	4	9	3	1	12	7	7	224	21
район Замоскворечье	улица Зацепский Вал	5	126.3	t	28	24	8	18	4	7	12	13	10	169	61
район Раменки	проспект Вернадского	10 к1	125.61	t	53	45	4	6	2	1	1	7	5	137	24
район Аэропорт	улица Усиевича	27 к1	125.43	t	51	30	4	11	3	2	11	4	7	224	19
Савёловский район	улица 8 Марта	8 к1	118.95	t	47	28	5	11	2	1	5	9	8	269	26
Орехово-Борисово Южное	Ореховый бульвар	20/2	117.84	f	57	39	3	0	3	1	4	5	3	272	12
район Сокол	Ленинградский проспект	63	117.31	t	47	27	4	9	2	2	12	6	6	210	21
